entity_id,name,jurisdiction,incorporation_date,entity_type,source,status,description,address
ENT_00015,Offshore Entity 16,British Virgin Islands,2009-09-26,Other,Pandora Papers,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"704 Financial District, Luxembourg"
ENT_00016,Offshore Entity 17,Malta,2015-06-21,Foundation,Paradise Papers,Active,This is an offshore entity incorporated in Cyprus for business purposes.,"697 Financial District, British Virgin Islands"
ENT_00017,Offshore Entity 18,Cayman Islands,2011-02-15,Trust,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Cyprus for business purposes.,"958 Financial District, Switzerland"
ENT_00018,Offshore Entity 19,Luxembourg,2024-03-30,Company,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Monaco for business purposes.,"192 Financial District, Luxembourg"
ENT_00019,Offshore Entity 20,Luxembourg,2019-02-07,Other,Bahamas Leaks,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"150 Financial District, Switzerland"
ENT_00020,Offshore Entity 21,Panama,2017-09-19,Trust,Paradise Papers,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"319 Financial District, British Virgin Islands"
ENT_00021,Offshore Entity 22,Panama,2015-08-06,Foundation,Panama Papers,Dissolved,This is an offshore entity incorporated in Bahamas for business purposes.,"466 Financial District, Switzerland"
ENT_00022,Offshore Entity 23,Luxembourg,2022-04-02,Trust,Panama Papers,Dissolved,This is an offshore entity incorporated in Luxembourg for business purposes.,"703 Financial District, Switzerland"
ENT_00023,Offshore Entity 24,Malta,2016-11-21,Foundation,Paradise Papers,Dissolved,This is an offshore entity incorporated in Switzerland for business purposes.,"743 Financial District, Monaco"
ENT_00024,Offshore Entity 25,Cayman Islands,2018-09-13,Company,Pandora Papers,Active,This is an offshore entity incorporated in Bahamas for business purposes.,"606 Financial District, Cayman Islands"
ENT_00025,Offshore Entity 26,Bermuda,2007-03-18,Foundation,Panama Papers,Dissolved,This is an offshore entity incorporated in Luxembourg for business purposes.,"331 Financial District, Luxembourg"
ENT_00026,Offshore Entity 27,British Virgin Islands,2022-01-31,Foundation,Offshore Leaks,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"985 Financial District, Switzerland"
ENT_00027,Offshore Entity 28,Malta,2018-02-22,Foundation,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Malta for business purposes.,"744 Financial District, British Virgin Islands"
ENT_00028,Offshore Entity 29,Cyprus,2013-02-24,Other,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Cyprus for business purposes.,"574 Financial District, British Virgin Islands"
ENT_00029,Offshore Entity 30,British Virgin Islands,2010-03-31,Other,Panama Papers,Inactive,This is an offshore entity incorporated in Bahamas for business purposes.,"300 Financial District, Monaco"
ENT_00030,Offshore Entity 31,Panama,2009-06-08,Trust,Bahamas Leaks,Dissolved,This is an offshore entity incorporated in Luxembourg for business purposes.,"689 Financial District, Bahamas"
ENT_00031,Offshore Entity 32,Cyprus,2017-10-15,Other,Offshore Leaks,Inactive,This is an offshore entity incorporated in Cyprus for business purposes.,"305 Financial District, British Virgin Islands"
ENT_00032,Offshore Entity 33,Bahamas,2006-12-14,Trust,Pandora Papers,Inactive,This is an offshore entity incorporated in Monaco for business purposes.,"140 Financial District, Panama"
ENT_00033,Offshore Entity 34,Bermuda,2021-04-04,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Bermuda for business purposes.,"362 Financial District, Cayman Islands"
ENT_00034,Offshore Entity 35,British Virgin Islands,2015-10-23,Other,Paradise Papers,Dissolved,This is an offshore entity incorporated in Switzerland for business purposes.,"472 Financial District, Malta"
ENT_00035,Offshore Entity 36,Panama,2009-01-15,Foundation,Paradise Papers,Dissolved,This is an offshore entity incorporated in Cayman Islands for business purposes.,"971 Financial District, Panama"
ENT_00036,Offshore Entity 37,Switzerland,2012-03-10,Other,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Monaco for business purposes.,"976 Financial District, Switzerland"
ENT_00037,Offshore Entity 38,Luxembourg,2017-08-24,Trust,Offshore Leaks,Active,This is an offshore entity incorporated in Malta for business purposes.,"551 Financial District, Panama"
ENT_00038,Offshore Entity 39,Monaco,2014-01-02,Other,Paradise Papers,Dissolved,This is an offshore entity incorporated in Switzerland for business purposes.,"703 Financial District, Cyprus"
ENT_00039,Offshore Entity 40,British Virgin Islands,2017-07-18,Company,Panama Papers,Dissolved,This is an offshore entity incorporated in Switzerland for business purposes.,"362 Financial District, Bermuda"
ENT_00040,Offshore Entity 41,Monaco,2019-07-21,Trust,Pandora Papers,Dissolved,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"279 Financial District, Bermuda"
ENT_00041,Offshore Entity 42,Switzerland,2016-09-13,Other,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Cayman Islands for business purposes.,"285 Financial District, Bermuda"
ENT_00042,Offshore Entity 43,Monaco,2012-08-25,Trust,Offshore Leaks,Inactive,This is an offshore entity incorporated in Monaco for business purposes.,"449 Financial District, Luxembourg"
ENT_00043,Offshore Entity 44,Cyprus,2006-09-22,Company,Paradise Papers,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"200 Financial District, Malta"
ENT_00044,Offshore Entity 45,Cyprus,2017-11-17,Other,Panama Papers,Inactive,This is an offshore entity incorporated in Bermuda for business purposes.,"456 Financial District, Bermuda"
ENT_00045,Offshore Entity 46,Luxembourg,2005-10-18,Other,Bahamas Leaks,Active,This is an offshore entity incorporated in Monaco for business purposes.,"649 Financial District, Bermuda"
ENT_00046,Offshore Entity 47,Cayman Islands,2015-08-19,Other,Panama Papers,Inactive,This is an offshore entity incorporated in Cyprus for business purposes.,"47 Financial District, Monaco"
ENT_00047,Offshore Entity 48,Luxembourg,2017-04-23,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Panama for business purposes.,"527 Financial District, Monaco"
ENT_00048,Offshore Entity 49,Luxembourg,2013-11-20,Other,Panama Papers,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"205 Financial District, Bahamas"
ENT_00049,Offshore Entity 50,Bermuda,2017-07-26,Trust,Offshore Leaks,Active,This is an offshore entity incorporated in Malta for business purposes.,"606 Financial District, Luxembourg"
ENT_00050,Offshore Entity 51,Switzerland,2017-07-28,Company,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Monaco for business purposes.,"782 Financial District, Malta"
ENT_00051,Offshore Entity 52,Luxembourg,2017-03-04,Foundation,Panama Papers,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"597 Financial District, Cyprus"
ENT_00052,Offshore Entity 53,Cyprus,2014-02-28,Company,Bahamas Leaks,Dissolved,This is an offshore entity incorporated in Cayman Islands for business purposes.,"738 Financial District, Luxembourg"
ENT_00053,Offshore Entity 54,Panama,2020-05-09,Company,Panama Papers,Inactive,This is an offshore entity incorporated in Cyprus for business purposes.,"937 Financial District, Luxembourg"
ENT_00054,Offshore Entity 55,Cayman Islands,2016-04-10,Other,Pandora Papers,Active,This is an offshore entity incorporated in Malta for business purposes.,"156 Financial District, Panama"
ENT_00055,Offshore Entity 56,Cyprus,2013-08-12,Other,Paradise Papers,Inactive,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"741 Financial District, Bahamas"
ENT_00056,Offshore Entity 57,Cyprus,2009-01-10,Foundation,Bahamas Leaks,Active,This is an offshore entity incorporated in Cyprus for business purposes.,"81 Financial District, Monaco"
ENT_00057,Offshore Entity 58,Malta,2011-11-15,Other,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Bahamas for business purposes.,"110 Financial District, Cyprus"
ENT_00058,Offshore Entity 59,British Virgin Islands,2010-10-06,Company,Bahamas Leaks,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"672 Financial District, Switzerland"
ENT_00059,Offshore Entity 60,Panama,2005-11-09,Trust,Panama Papers,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"252 Financial District, Cyprus"
ENT_00060,Offshore Entity 61,Cyprus,2012-07-30,Other,Offshore Leaks,Inactive,This is an offshore entity incorporated in Bermuda for business purposes.,"831 Financial District, Switzerland"
ENT_00061,Offshore Entity 62,Panama,2008-04-10,Foundation,Pandora Papers,Inactive,This is an offshore entity incorporated in Switzerland for business purposes.,"500 Financial District, Luxembourg"
ENT_00062,Offshore Entity 63,Bahamas,2024-06-11,Company,Paradise Papers,Dissolved,This is an offshore entity incorporated in Switzerland for business purposes.,"267 Financial District, Switzerland"
ENT_00063,Offshore Entity 64,Cyprus,2017-10-15,Other,Pandora Papers,Inactive,This is an offshore entity incorporated in Malta for business purposes.,"620 Financial District, British Virgin Islands"
ENT_00064,Offshore Entity 65,Switzerland,2022-08-24,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"767 Financial District, British Virgin Islands"
ENT_00065,Offshore Entity 66,Switzerland,2013-01-22,Company,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Monaco for business purposes.,"241 Financial District, British Virgin Islands"
ENT_00066,Offshore Entity 67,Panama,2010-11-05,Company,Pandora Papers,Inactive,This is an offshore entity incorporated in Bermuda for business purposes.,"267 Financial District, Switzerland"
ENT_00067,Offshore Entity 68,Luxembourg,2006-04-28,Other,Bahamas Leaks,Active,This is an offshore entity incorporated in Bahamas for business purposes.,"470 Financial District, British Virgin Islands"
ENT_00068,Offshore Entity 69,Panama,2022-11-27,Foundation,Paradise Papers,Dissolved,This is an offshore entity incorporated in Malta for business purposes.,"915 Financial District, Cyprus"
ENT_00069,Offshore Entity 70,Panama,2008-04-12,Trust,Offshore Leaks,Active,This is an offshore entity incorporated in Malta for business purposes.,"205 Financial District, Cayman Islands"
ENT_00070,Offshore Entity 71,Malta,2009-01-08,Trust,Paradise Papers,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"642 Financial District, British Virgin Islands"
ENT_00071,Offshore Entity 72,Malta,2014-07-04,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"190 Financial District, Cayman Islands"
ENT_00072,Offshore Entity 73,Bahamas,2023-09-30,Company,Pandora Papers,Active,This is an offshore entity incorporated in Switzerland for business purposes.,"932 Financial District, Bermuda"
ENT_00073,Offshore Entity 74,Bahamas,2008-03-27,Other,Pandora Papers,Dissolved,This is an offshore entity incorporated in Monaco for business purposes.,"619 Financial District, Cayman Islands"
ENT_00074,Offshore Entity 75,Bahamas,2023-11-07,Company,Panama Papers,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"222 Financial District, Bermuda"
ENT_00075,Offshore Entity 76,Malta,2013-10-22,Other,Paradise Papers,Inactive,This is an offshore entity incorporated in Panama for business purposes.,"667 Financial District, Bahamas"
ENT_00076,Offshore Entity 77,Cayman Islands,2021-10-19,Foundation,Panama Papers,Inactive,This is an offshore entity incorporated in Cyprus for business purposes.,"663 Financial District, Cyprus"
ENT_00077,Offshore Entity 78,Panama,2008-04-23,Foundation,Bahamas Leaks,Active,This is an offshore entity incorporated in Cyprus for business purposes.,"95 Financial District, Malta"
ENT_00078,Offshore Entity 79,Bermuda,2017-01-26,Other,Bahamas Leaks,Active,This is an offshore entity incorporated in Cyprus for business purposes.,"321 Financial District, Cyprus"
ENT_00079,Offshore Entity 80,Monaco,2012-09-15,Trust,Offshore Leaks,Active,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"80 Financial District, Panama"
ENT_00080,Offshore Entity 81,Bahamas,2014-08-15,Company,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Cyprus for business purposes.,"21 Financial District, Switzerland"
ENT_00081,Offshore Entity 82,Bahamas,2008-03-19,Foundation,Panama Papers,Dissolved,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"14 Financial District, Panama"
ENT_00082,Offshore Entity 83,Monaco,2021-11-04,Foundation,Bahamas Leaks,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"305 Financial District, Bahamas"
ENT_00083,Offshore Entity 84,British Virgin Islands,2008-11-30,Trust,Panama Papers,Dissolved,This is an offshore entity incorporated in Panama for business purposes.,"218 Financial District, Malta"
ENT_00084,Offshore Entity 85,Luxembourg,2011-05-08,Foundation,Panama Papers,Inactive,This is an offshore entity incorporated in Malta for business purposes.,"504 Financial District, Panama"
ENT_00085,Offshore Entity 86,Panama,2017-06-23,Company,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Malta for business purposes.,"169 Financial District, Switzerland"
ENT_00086,Offshore Entity 87,Cayman Islands,2017-10-03,Company,Bahamas Leaks,Inactive,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"582 Financial District, Malta"
ENT_00087,Offshore Entity 88,British Virgin Islands,2016-04-15,Other,Bahamas Leaks,Dissolved,This is an offshore entity incorporated in Malta for business purposes.,"755 Financial District, Cayman Islands"
ENT_00088,Offshore Entity 89,Panama,2016-11-13,Company,Offshore Leaks,Inactive,This is an offshore entity incorporated in Switzerland for business purposes.,"442 Financial District, Malta"
ENT_00089,Offshore Entity 90,Cyprus,2015-07-29,Company,Panama Papers,Inactive,This is an offshore entity incorporated in Bermuda for business purposes.,"300 Financial District, Bahamas"
ENT_00090,Offshore Entity 91,Luxembourg,2021-08-28,Foundation,Paradise Papers,Dissolved,This is an offshore entity incorporated in Cyprus for business purposes.,"675 Financial District, Cyprus"
ENT_00091,Offshore Entity 92,Bahamas,2015-12-03,Foundation,Offshore Leaks,Active,This is an offshore entity incorporated in Panama for business purposes.,"303 Financial District, Cyprus"
ENT_00092,Offshore Entity 93,Malta,2009-09-17,Trust,Pandora Papers,Dissolved,This is an offshore entity incorporated in Malta for business purposes.,"325 Financial District, Malta"
ENT_00093,Offshore Entity 94,Malta,2011-07-09,Trust,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Bahamas for business purposes.,"452 Financial District, Cyprus"
ENT_00094,Offshore Entity 95,Luxembourg,2007-10-21,Other,Pandora Papers,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"731 Financial District, Switzerland"
ENT_00095,Offshore Entity 96,Cyprus,2015-05-18,Company,Offshore Leaks,Inactive,This is an offshore entity incorporated in Cayman Islands for business purposes.,"992 Financial District, Cyprus"
ENT_00096,Offshore Entity 97,Cayman Islands,2014-03-30,Company,Paradise Papers,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"706 Financial District, Switzerland"
ENT_00097,Offshore Entity 98,Panama,2013-01-07,Other,Panama Papers,Active,This is an offshore entity incorporated in Panama for business purposes.,"71 Financial District, Luxembourg"
ENT_00098,Offshore Entity 99,Bahamas,2014-02-09,Company,Panama Papers,Active,This is an offshore entity incorporated in Bermuda for business purposes.,"905 Financial District, Panama"
ENT_00099,Offshore Entity 100,Monaco,2010-03-14,Other,Paradise Papers,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"842 Financial District, British Virgin Islands"
ENT_00100,Offshore Entity 101,Panama,2016-01-08,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Bahamas for business purposes.,"25 Financial District, Panama"
ENT_00101,Offshore Entity 102,Switzerland,2011-04-03,Trust,Bahamas Leaks,Active,This is an offshore entity incorporated in Monaco for business purposes.,"703 Financial District, Monaco"
ENT_00102,Offshore Entity 103,Malta,2012-06-08,Foundation,Bahamas Leaks,Dissolved,This is an offshore entity incorporated in Malta for business purposes.,"595 Financial District, Malta"
ENT_00103,Offshore Entity 104,Cyprus,2007-10-08,Company,Bahamas Leaks,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"908 Financial District, Cyprus"
ENT_00104,Offshore Entity 105,Bermuda,2020-04-24,Company,Panama Papers,Active,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"21 Financial District, Monaco"
ENT_00105,Offshore Entity 106,Bermuda,2012-07-22,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Monaco for business purposes.,"348 Financial District, Malta"
ENT_00106,Offshore Entity 107,Panama,2016-08-22,Company,Offshore Leaks,Inactive,This is an offshore entity incorporated in Switzerland for business purposes.,"983 Financial District, Cayman Islands"
ENT_00107,Offshore Entity 108,Monaco,2008-01-25,Company,Pandora Papers,Active,This is an offshore entity incorporated in Switzerland for business purposes.,"530 Financial District, Monaco"
ENT_00108,Offshore Entity 109,Bahamas,2015-01-16,Foundation,Pandora Papers,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"542 Financial District, Cyprus"
ENT_00109,Offshore Entity 110,Monaco,2014-12-05,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"728 Financial District, Cyprus"
ENT_00110,Offshore Entity 111,Bahamas,2009-10-28,Company,Bahamas Leaks,Dissolved,This is an offshore entity incorporated in Monaco for business purposes.,"50 Financial District, Switzerland"
ENT_00111,Offshore Entity 112,Malta,2016-09-14,Foundation,Offshore Leaks,Inactive,This is an offshore entity incorporated in Switzerland for business purposes.,"110 Financial District, Monaco"
ENT_00112,Offshore Entity 113,Luxembourg,2024-02-01,Company,Paradise Papers,Dissolved,This is an offshore entity incorporated in Panama for business purposes.,"833 Financial District, Bahamas"
ENT_00113,Offshore Entity 114,Luxembourg,2014-06-09,Company,Panama Papers,Dissolved,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"39 Financial District, Panama"
ENT_00114,Offshore Entity 115,Cyprus,2012-03-17,Company,Panama Papers,Active,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"33 Financial District, Luxembourg"
ENT_00115,Offshore Entity 116,Switzerland,2012-03-15,Company,Panama Papers,Dissolved,This is an offshore entity incorporated in Malta for business purposes.,"22 Financial District, Malta"
ENT_00116,Offshore Entity 117,Cayman Islands,2015-01-12,Other,Pandora Papers,Active,This is an offshore entity incorporated in Malta for business purposes.,"994 Financial District, Cyprus"
ENT_00117,Offshore Entity 118,Bermuda,2011-09-25,Trust,Panama Papers,Dissolved,This is an offshore entity incorporated in Panama for business purposes.,"186 Financial District, Malta"
ENT_00118,Offshore Entity 119,Cayman Islands,2014-01-16,Other,Panama Papers,Dissolved,This is an offshore entity incorporated in Cyprus for business purposes.,"432 Financial District, British Virgin Islands"
ENT_00119,Offshore Entity 120,Cyprus,2022-05-17,Other,Panama Papers,Active,This is an offshore entity incorporated in Bahamas for business purposes.,"716 Financial District, Cayman Islands"
ENT_00120,Offshore Entity 121,Switzerland,2016-08-17,Trust,Pandora Papers,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"200 Financial District, Bermuda"
ENT_00121,Offshore Entity 122,Cayman Islands,2012-02-28,Trust,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Bahamas for business purposes.,"991 Financial District, Bahamas"
ENT_00122,Offshore Entity 123,British Virgin Islands,2016-03-18,Foundation,Offshore Leaks,Active,This is an offshore entity incorporated in Panama for business purposes.,"934 Financial District, Malta"
ENT_00123,Offshore Entity 124,Malta,2023-04-07,Trust,Pandora Papers,Dissolved,This is an offshore entity incorporated in Cyprus for business purposes.,"266 Financial District, Bahamas"
ENT_00124,Offshore Entity 125,Bermuda,2013-01-22,Company,Pandora Papers,Dissolved,This is an offshore entity incorporated in Panama for business purposes.,"441 Financial District, Cayman Islands"
ENT_00125,Offshore Entity 126,Malta,2023-05-15,Foundation,Offshore Leaks,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"468 Financial District, British Virgin Islands"
ENT_00126,Offshore Entity 127,Switzerland,2006-03-30,Foundation,Bahamas Leaks,Active,This is an offshore entity incorporated in Malta for business purposes.,"169 Financial District, Panama"
ENT_00127,Offshore Entity 128,Switzerland,2020-11-09,Other,Pandora Papers,Inactive,This is an offshore entity incorporated in Cyprus for business purposes.,"744 Financial District, British Virgin Islands"
ENT_00128,Offshore Entity 129,Luxembourg,2012-09-29,Trust,Pandora Papers,Active,This is an offshore entity incorporated in Switzerland for business purposes.,"339 Financial District, Monaco"
ENT_00129,Offshore Entity 130,Bermuda,2020-04-18,Company,Panama Papers,Active,This is an offshore entity incorporated in Panama for business purposes.,"810 Financial District, British Virgin Islands"
ENT_00130,Offshore Entity 131,Switzerland,2017-05-01,Other,Offshore Leaks,Active,This is an offshore entity incorporated in Bahamas for business purposes.,"905 Financial District, Panama"
ENT_00131,Offshore Entity 132,Cayman Islands,2024-06-28,Other,Bahamas Leaks,Dissolved,This is an offshore entity incorporated in Monaco for business purposes.,"541 Financial District, Cayman Islands"
ENT_00132,Offshore Entity 133,Bahamas,2021-12-19,Foundation,Paradise Papers,Active,This is an offshore entity incorporated in Switzerland for business purposes.,"960 Financial District, British Virgin Islands"
ENT_00133,Offshore Entity 134,Cyprus,2014-12-04,Trust,Offshore Leaks,Active,This is an offshore entity incorporated in Bermuda for business purposes.,"566 Financial District, British Virgin Islands"
ENT_00134,Offshore Entity 135,Monaco,2007-09-11,Other,Panama Papers,Active,This is an offshore entity incorporated in Bermuda for business purposes.,"655 Financial District, Panama"
ENT_00135,Offshore Entity 136,Cyprus,2021-02-21,Trust,Panama Papers,Inactive,This is an offshore entity incorporated in Switzerland for business purposes.,"955 Financial District, Bahamas"
ENT_00136,Offshore Entity 137,Bermuda,2022-06-01,Other,Pandora Papers,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"24 Financial District, Panama"
ENT_00137,Offshore Entity 138,Monaco,2016-05-20,Company,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Cayman Islands for business purposes.,"803 Financial District, Bermuda"
ENT_00138,Offshore Entity 139,Luxembourg,2023-03-26,Trust,Offshore Leaks,Active,This is an offshore entity incorporated in Cyprus for business purposes.,"576 Financial District, Switzerland"
ENT_00139,Offshore Entity 140,Cayman Islands,2018-09-21,Trust,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Switzerland for business purposes.,"949 Financial District, Monaco"
ENT_00140,Offshore Entity 141,Cyprus,2011-04-12,Other,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Cyprus for business purposes.,"49 Financial District, Malta"
ENT_00141,Offshore Entity 142,Malta,2022-10-02,Foundation,Offshore Leaks,Active,This is an offshore entity incorporated in Bahamas for business purposes.,"578 Financial District, Monaco"
ENT_00142,Offshore Entity 143,Panama,2018-06-16,Other,Pandora Papers,Active,This is an offshore entity incorporated in Cayman Islands for business purposes.,"396 Financial District, British Virgin Islands"
ENT_00143,Offshore Entity 144,British Virgin Islands,2007-08-22,Company,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Monaco for business purposes.,"606 Financial District, Monaco"
ENT_00144,Offshore Entity 145,Bahamas,2021-03-21,Other,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Malta for business purposes.,"946 Financial District, Panama"
ENT_00145,Offshore Entity 146,Cyprus,2008-11-03,Foundation,Offshore Leaks,Inactive,This is an offshore entity incorporated in Monaco for business purposes.,"944 Financial District, Switzerland"
ENT_00146,Offshore Entity 147,Cyprus,2013-11-19,Foundation,Offshore Leaks,Inactive,This is an offshore entity incorporated in Bermuda for business purposes.,"976 Financial District, Bermuda"
ENT_00147,Offshore Entity 148,British Virgin Islands,2008-09-28,Trust,Pandora Papers,Active,This is an offshore entity incorporated in Monaco for business purposes.,"927 Financial District, Cayman Islands"
ENT_00148,Offshore Entity 149,Luxembourg,2008-12-31,Company,Panama Papers,Dissolved,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"805 Financial District, Malta"
ENT_00149,Offshore Entity 150,Luxembourg,2019-10-26,Company,Paradise Papers,Active,This is an offshore entity incorporated in Bermuda for business purposes.,"31 Financial District, Monaco"
ENT_00150,Offshore Entity 151,Malta,2013-11-01,Company,Bahamas Leaks,Active,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"952 Financial District, Cyprus"
ENT_00151,Offshore Entity 152,Luxembourg,2015-12-02,Company,Paradise Papers,Dissolved,This is an offshore entity incorporated in Bahamas for business purposes.,"565 Financial District, Bahamas"
ENT_00152,Offshore Entity 153,Switzerland,2019-09-07,Trust,Paradise Papers,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"403 Financial District, Cayman Islands"
ENT_00153,Offshore Entity 154,British Virgin Islands,2019-10-04,Trust,Pandora Papers,Active,This is an offshore entity incorporated in Luxembourg for business purposes.,"491 Financial District, Panama"
ENT_00154,Offshore Entity 155,British Virgin Islands,2021-08-07,Company,Paradise Papers,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"25 Financial District, Switzerland"
ENT_00155,Offshore Entity 156,Luxembourg,2013-11-09,Company,Panama Papers,Dissolved,This is an offshore entity incorporated in Bermuda for business purposes.,"906 Financial District, British Virgin Islands"
ENT_00156,Offshore Entity 157,Luxembourg,2016-12-22,Foundation,Paradise Papers,Inactive,This is an offshore entity incorporated in Switzerland for business purposes.,"608 Financial District, Cyprus"
ENT_00157,Offshore Entity 158,Malta,2007-12-13,Trust,Bahamas Leaks,Inactive,This is an offshore entity incorporated in Luxembourg for business purposes.,"521 Financial District, Monaco"
ENT_00158,Offshore Entity 159,Cyprus,2013-01-23,Other,Offshore Leaks,Dissolved,This is an offshore entity incorporated in Luxembourg for business purposes.,"647 Financial District, Malta"
ENT_00159,Offshore Entity 160,Luxembourg,2009-11-21,Foundation,Pandora Papers,Inactive,This is an offshore entity incorporated in British Virgin Islands for business purposes.,"895 Financial District, Switzerland"
